,movie_id,movie_name,year,genre,overview,director,cast,movie_id2,Keywords
300,tt15281402,Waltair Veerayya,2023,"Action, Drama",A fisherman who engages in smuggling accepts a request from a disheveled police officer in order to use it to his personal advantage,K.S. Ravindra,"Chiranjeevi, Shruti Haasan, Urvashi Rautela, Ravi Teja",15281402,"smuggling, police"
301,tt12862042,Jogira Sara Ra Ra,2023,"Comedy, Drama, Family","Jogi the match maker and Dimple who seeks help to him to get rid of her marriage, both face the consequences as it is eventually decided that Jogi will marry her to save face.",Kushan Nandy,"Nawazuddin Siddiqui, Neha Sharma, Vishal Anand, Mimoh Chakraborty",12862042,marriage
302,tt28362963,Checkmate,2023,"Action, Comedy","An assassin gets hired for a job that throws him in a murky pool of mishaps, eventually leading to a baffling secret.","Akriti Bajpai, Harsh Beniwal","Harsh Beniwal, Mohit Chhikara, Aditya Paul, Vishal Vashishtha",28362963,
303,tt0432637,Krrish,2006,"Action, Adventure, Sci-Fi","Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.",Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra Jonas, Rekha, Naseeruddin Shah",0432637,"supernatural power, non comic book superhero, character name as title, child in jeopardy, one word title, extra terrestial creature, superhero action, superhero sci fi, foreshadowing, singapore, mask, computer, superhuman, superhero, rescue, breaking the fourth wall by talking to the audience, stabbed with a glass shard, superhuman speed, slow motion scene, fear, fast motion scene, family relationships, fired from a job, paraplegic, flashback, water jet, video surveillance, thug, swordplay, swimming, super computer, ship, security, security officer, scientist, river, ring, recording, punch, press conference, paragliding, mugging, mountain, motorcycle gang, megalomaniac, martial artist, jumping into water, hit on the head with a fire extinguisher, high jump, held at gunpoint"
304,tt0211934,Baadshah,1999,"Action, Comedy, Crime",A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Twinkle Khanna, Amrish Puri, Johny Lever",0211934,"character name as title, nickname as title, one word title, detective, agent, cbi, hostage, one man army, shot to death, hotel, parking garage, attempted murder, daydream, mirror, dog, cat, rain, echo, bedroom, cleavage, poisoned drink, poisoning, poison, airplane ticket, murder, gadget car, scientist, bare chested male, shootout, disarming someone, shoes, held at gunpoint, hotel room, stewardess, walkman, wheelchair, speech, garbage can, impersonation, child kidnapping, carousel, pursuit, car chase, heartbreak, dancing, doctor, nightclub, pretending to be blind, cigarette smoking, diamond"
305,tt1639426,Udaan,2010,Drama,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor",1639426,"friendship, character repeats someone else's dialogue, engineering college, authoritarian, boarding school, dark hero, disturbed childhood, unhappy childhood, traumatic childhood, dark past, child's point of view, childhood innocence, dysfunctional family, secret past, atrocity, motivation, repeated line, reference to catcher in the rye, telephone call, voice over letter, letter, leaving home, running away, photo album, photograph, jail cell, wrecking a car, car trouble, wristwatch, picnic, storytelling, patient, old man, scars on back, hospital, domestic violence, pool, bar fight, driving, drinking buddy, bar, alcoholism, alcoholic, underage drinking, drinking, steel worker, steel factory, race, running, jogging"
306,tt0240200,Water,2005,Drama,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents.",Deepa Mehta,"Lisa Ray, John Abraham, Seema Biswas, Sarala Kariyawasam",0240200,"third part, old woman, page torn from a book, reference to krishna the hindu deity, reference to shiva the hindu deity, reference to vishnu the hindu deity, female director, female filmmaker, one word title, philosophical conversation, metaphoric title, mahatma gandhi character, short haired female, 1930s, 8 year old, widow, tradition, love, ashram, india, hindu, funeral, well, ganges, temple, rebirth, pimp, marriage, funeral pyre, water, f rated, title directed by female, temper tantrum, powder, locked in a room, law student, hindu temple, devotion, devotional, shaving, belief in hell, candle, hopscotch, religious ritual, ritual, class differences, reference to william shakespeare, note, religious offering, driving"
307,tt1438298,Guzaarish,2010,"Drama, Romance","Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor",1438298,"nurse, magician, quadriplegic, euthanasia, physician, magician's assistant, water tank, wheelchair, lawyer, one word title"
308,tt0254481,Koi... Mil Gaya,2003,"Action, Drama, Romance","A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",Rakesh Roshan,"Rekha, Hrithik Roshan, Preity G Zinta, Rajat Bedi",0254481,"non comic book superhero, outer space, alien, spaceship, local blockbuster, man child, ellipsis in title, punctuation in title, three word title, father, young, man, reference to krishna the hindu deity, computer, muscle growth, motorcycle, real life father and son playing father and son, developmentally disabled person, extraterrestrial, unidentified flying object, superhuman strength, scooter, rescue mission, religion, public humiliation, product placement, prayer, police officer, physical abuse, muscleman, misunderstanding, love, hill station, friendship, eyeglasses, dance contest, cruelty, computer class, chakra, catholic school, bhagavad gita, basketball, basketball team, antigravity, single mother, transformation, adult as child"
309,tt0118983,Dil To Pagal Hai,1997,"Comedy, Drama, Musical","A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",Yash Chopra,"Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor, Akshay Kumar",0118983,"dancer, love triangle, orphan, local blockbuster"
