,movie_id,movie_name,year,genre,overview,director,cast
2521,tt27006879,Kunddala Puranam,2024.0,"Comedy, Drama","Venu's well draws crowds in a parched area. His daughter Kingini loses her earrings in it, igniting conflicts that test relationships. A simple incident exposes underlying tensions.",Santhosh Puthukkunnu,"Indrans, Remya Suresh, Dinesh Prabhakar, Unni Raja, V. Madhusoodhanan"
2522,tt32828591,Frendo,2024.0,Comedy,"Four buddies who are proudly and voluntarily jobless embark on an exhilarating voyage. They will wait for the wind to come and blow the fly off if it is sitting on their mouth. These four are having a good life together, but Kana has to make a decision since he falls in love with Radhika right away and wants to marry her. things they are unable to do.",Vipul Sharma,"Tushar Sadhu, Twinkal Patel, Jay Pandya, Kushal Mistry, Deep Vaidya"
2523,tt33479843,Chella Kutty,2024.0,unknown,Unknown,Sagayanathan,"Madhumitha, Deepshikha, Vetrivel Raja, Thidiyan, V. Manibhai"
2524,tt33029493,Mr and Mrs Bachelor,2024.0,Romance,Unknown,Deepu Karunakaran,"Deepu, Gibin Gopinath, Dayyana Hameed, Rosin Jolly, Manohari Joy"
2525,tt31226996,Kodaikanal,2024.0,"Adventure, Comedy","3 friends plan to surprise the other two friends, and without prior notice, they get them to Kodaikanal.",VJ Siddhu,"Balaprabakark, Harshath Khan, Sathish, VJ Siddhu, Cam Soori"
2526,tt32765621,Sipahi,2024.0,Drama,"Agent Korkut Ali Türkoglu, trained by the National Intelligence Organization, uncovers crucial information about plans concerning Turkey.",Amit Bhadana,"Amit Bhadana, Dinesh Ahlawat, Baljinder Kaur, Asmi Tulsyan, Vikas Mehta"
2527,tt15457802,Ooru Peru Bhairavakona,2024.0,"Fantasy, Thriller","A man goes in search of some urgently required answers to the world of Bhairavakona, from which there's seemingly no way out.",Vi Anand,"Sundeep Kishan, Varsha Bollamma, Kavya Thapar, Harsha Chemudu, Brahmaji"
2528,tt26885613,Hamare Baarah,2024.0,Drama,"A woman takes her father to court to allow her mother, who is in the midst of a risky pregnancy, the right to terminate the pregnancy in order to save her life.",Kamal Chandra,"Rahul Bagga, Aditi Bhatpahri, Harish Chhabra, Ankita Dwivedi, Farhana Fatema"
2529,tt32393510,Dandupalayam,2024.0,"Crime, Thriller",Based on the infamous criminal gang that murdered countless individuals.,Tiger Venkaat,"Sonia Agarwal, Vanitha Vijayakumar, Tiger Venkaat, Birla Bose, Supergood Subramani"
2530,tt29456979,Little Hearts,2024.0,"Comedy, Drama, Romance","The story follows father Baby and son Sibi navigating three intertwined romantic storylines set against Kattappana's scenic backdrop, blending humor with relatable love tales for a multigenerational audience.","Aby Treesa Paul, Anto Jose Periera","Shane Nigam, Mahima Nambiar, Piers MacKenzie, Shammi Thilakan, Baburaj"
2531,tt28568408,Rasavathi,2024.0,Romance,"A former criminal doctor and his wife seek a tranquil life, but an inspector hellbent on vengeance jeopardizes their newfound peace.",Santhakumar,"Aruljothi, Arjun Das, Mithun Nalini, Tanya S Ravichandran, Rishikanth"
2532,tt30798502,Sriranga Neethulu,2024.0,Drama,Follows three characters from diverse backgrounds in their mid twenties. How consequences arise because of their flaws and what struggles they go through?,Praveen Kumar VSS,"Suhas, Ruhani Sharma, Karthik Rathnam, Viraj Ashwin, Srinivas Avasarala"
2533,tt28792979,Powder,2024.0,unknown,A small village and revolves around a group of miscreants in pursuit of a valuable treasure.,Janardhan Chikkanna,"Diganth, Dhanya Ramkumar, Sharmiela Mandre, Anirudh Acharya, Rangayana Raghu"
2534,tt33298502,Black,2024.0,Thriller,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart.",Balasubramani KG,"Jiiva, Priya Bhavani Shankar, Swayam Siddha, Sha Ra, Vivek Prasanna"
2535,tt10545214,Aliya Basu Gayab Hai,2024.0,Drama,"Ex-convicts Deepak and Vikram abduct a rich man's daughter for ransom, but Vikram is unaware of Deepak's ulterior motives.",Preeti Singh,"Salim Diwan, Vinay Pathak, Raima Sen"
2536,tt31615134,Welcome Wedding,2024.0,Comedy,It is a light hearted surreal comedy target to attract masses and is a hilarious family entertainer.,Aanand Raut,"Rajpal Naurang Yadav, Rakhi Sawant, Komal Jha, Raju Kher, Arun Bakshi"
2537,tt28488735,Cicada,2024.0,Thriller,"A ruthless man ventures into the unforgiving jungle, where he learns a brutal lesson: the only acceptable hunt is for survival, as any other pursuit makes him the prey.",Sreejith Edavana,"Rajith CR, Gayathry Mayoora, Jaise Jose, Shalil Kallur, Mathayichan"
2538,tt33083848,Veeranjaneyulu Vihara Yatra,2024.0,Comedy,A dysfunctional family sets off on a road trip to immerse the grandfather's ashes in Goa and drama ensues.,Anurag Palutla,"Brahmanandam, Sri Lakshmi, Ravi Teja Mahadasyam, Rag Mayur, V.K. Naresh"
2539,tt28266209,Sarkaaru Noukari,2024.0,Drama,"In the year 1996, the entire nation was politically facing a serious issue. In addition, the country was suffering from another dangerous problem. In this scenario, a Government Employee took up the responsibility.",Shekar Ganganamoni,"Tanikella Bharani, Sammeta Gandhi, Latha Reddy, Rajeshwari Mullapudi, Akhila"
2540,tt15378102,Chalti Rahe Zindagi,2024.0,Drama,"Krishna explores Arjun's wife's infidelity with Aru's husband, Sushma's financial strain on Krishna, and generational clashes between Leela, Naina, and Siya during lockdown. Characters face adversities, testing their perseverance.",Aarti S. Bagdi,"Seema Biswas, Manjari Fadnnis, Siddhant Kapoor, Indraneil Sengupta, Barkha Sengupta"
2541,tt27250815,Mechanic,2024.0,Drama,"Celebrities are know need to looks likes Abdhul kalam and Abraham Lincoln, might be as a arrogant guy .He is the symbol to show ,How should not be a man and he is the signature to say ,How should be a great man. This is the life story of that person.",Muni Sahekara,"Mani Sai Teja, Rekha Nirosha, Tanikella Bharani, Naga Mahesh, Surya"
2542,tt30777379,Pariah Volume 1: Every Street Dog Has a Name,2024.0,Action,"Outcast native Indian dogs suffer continuous torture, their lives rendered worthless by the country's legal system.",Tathagata Mukherjee,"Arpan Das, Roy Angana, Ambarish Bhattacharya, Sandeep Bhattacharya, Vikram Chatterjee"
2543,tt24485600,Hunt,2024.0,Thriller,Follows Dr. Keerthy as he receives a case at a medical college that unfolds something that he was not expecting.,Shaji Kailas,"Ajmal Ameer, Bhavana, Divya M. Nair, Renji Panicker, Anu Mohan"
2544,tt15260176,Despatch,2024.0,Drama,"News has turned digital, leaving veteran crime journalist Joy at the cusp of irrelevance. Determined to break the next big story and refashion his complicated personal life, Joy embarks on a relentless odyssey through the heart and gut of Mumbai, stumbling into its darkest corners.",Kanu Behl,"Abhishek Bhalerao, Shahana Goswami, Manoj Bajpayee, Rituparna Sen, Parvati Sehgal"
2545,tt27440937,Weapon,2024.0,"Action, Sci-Fi, Thriller","Agni a YouTuber who is a dedicated environmentalist is searching for a superhuman (Mithran), to shoot and add as content for his channel. The journey is full of twists and turns as he is not the only one searching for him.",Guhan Senniappan,"Sathyaraj, Vasanth Ravi, Tanya Hope, Rajiv Menon, Rajeev Pillai"
2546,tt27899596,Imamdasta,2024.0,Drama,"Two unknown people, Mehmood and Jaanisaar visit two unemployed roommates Manoj and Firoz with no intentions of leaving. A series of madness and confusion leads to a comedy of errors.",Rizwan Siddiqui,"Rakesh Sharma, Mahesh Chandra Deva, Jay Shanker Pandey, Raju Pandey, Abhijit Sarkar"
2547,tt31969078,Lipstick,2024.0,"Crime, Drama, Thriller",Unknown,"Kamruzzaman Roman, Yugesh Ganesh","Ador Azad, Puja Cherry Roy, Afzal, Nader Chowdhury, Zayed Khan"
2548,tt27413174,Mazhai Pidikatha Manithan,2024.0,Action,"A secret agent, forced to live anonymously, encounters a woman in debt. Against his detached lifestyle, he befriends her while rescuing a pup, sparking a journey to help with her financial troubles.",Vijay Milton,"Megha Akash, Pruthvi Ambaar, Vijay Antony, A.L. Azhagappan, Dhananjaya"
2549,tt32843331,Janaka Aithe Ganaka,2024.0,Drama,Unknown,Sandeep Reddy Bandla,"Murli Sharma, Sangeerthana Vipin, Suhas, Rajendra Prasad, Vennela Kishore"
2550,tt23220552,Badass Ravikumar,2024.0,"Action, Musical","The Xpose franchise now goes to the next level with Himesh Reshammiya doing a spin-off from his iconic character Ravi Kumar from his hit film 'The Xpose' as an action musical entertainer, in which he is up against 10 sensational villains.",Keith Gomes,"Prabhu Deva, Himesh Reshammiya"
2551,tt28230068,Laandhar,2024.0,Crime,"An armed masked killer's reign of terror puts a police officer's wife in danger. Amidst the hunt for the perpetrator, she goes missing, leaving him racing against time to find her.",Saji Saleem,"Sahana Chandrashekar, Swetha Dorathi, Gajaraj, Pasupathi Raj, Vibin"
2552,tt27907811,Thandel,2024.0,"Action, Romance, Thriller",An action drama about a fisherman in Srikakulam who gets caught by the Pakistan forces in international waters.,Chandoo Mondeti,"Sai Pallavi, Naga Chaitanya Akkineni, Sundip Ved, Kishore Raju Vasistha"
2553,tt28490257,Big Ben,2024.0,Drama,"Lovely and Jean Antony, living in separate countries, face a legal crisis when Jean visits Lovely in London with their 1.5 year daughter. Despite their unfamiliarity with local laws, will they overcome the challenges and reunite?",Bino Augustine,"Anu Mohan, Aditi Ravi, Vinay Forrt, Shebin Benson, Vijay Babu"
2554,tt30890061,Shakhahaari,2024.0,Thriller,Centers on the unexpected intertwining of innocent lives leading to a murder mystery in a vegetarian restaurant run by Chef Subbanna.,Sandeep Sunkad,"Savitha K. Avarasang, Gopalkrishna Deshpande, Cloudy Dsouza, Sriharsha Ghobhat, Harish Hassan"
