web-scraper-order,web-scraper-start-url,Movie_Name,Year,Duration,Rating,Overview,link,link-href
"1728642008-31","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","31. Santosh","2024","2h","7.2","Newly widowed Santosh inherits her husband's job as a police constable in the rural badlands of Northern India. When a girl's body is found, she's pulled into the investigation under the wing of charismatic feminist inspector Sharma.","31. Santosh","https://www.imdb.com/title/tt30444418/?ref_=sr_t_31"
"1728642008-32","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","32. Thangalaan","2024","2h 36m","7.1","Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka.","32. Thangalaan","https://www.imdb.com/title/tt23018924/?ref_=sr_t_32"
"1728642008-33","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","33. Aavesham","2024","2h 35m","7.8","Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.","33. Aavesham","https://www.imdb.com/title/tt26660021/?ref_=sr_t_33"
"1728642008-34","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","34. Bad Newz","2024","2h 22m","5.0","A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly.","34. Bad Newz","https://www.imdb.com/title/tt24517830/?ref_=sr_t_34"
"1728642008-35","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","35. Love, Sitara","2024","1h 45m","5.5","A love story between a Malayali girl and a Punjabi chef, complicated by the family members on each side.","35. Love, Sitara","https://www.imdb.com/title/tt13070226/?ref_=sr_t_35"
"1728642008-36","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","36. Navra Maza Navsacha 2","2024","2h 23m","6.2","Shraddha wants her fiancé to fulfill an unusual vow before marriage. Her parents, Bhakti and Vacky, embark on a pilgrimage to seek divine blessings to make it happen.","36. Navra Maza Navsacha 2","https://www.imdb.com/title/tt31313704/?ref_=sr_t_36"
"1728642008-37","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","37. Raayan","2024","2h 25m","6.5","A series of unfortunate events lead Raayan, a simpleton to be dragged into the dreaded world of crime and manipulation.","37. Raayan","https://www.imdb.com/title/tt26233598/?ref_=sr_t_37"
"1728642008-38","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","38. Footage","2024","2h 4m","8.6","A found footage thriller surrounding the story of a curious couple.","38. Footage","https://www.imdb.com/title/tt27219011/?ref_=sr_t_38"
"1728642008-39","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","39. Shaitaan","2024","2h 12m","6.6","A family's getaway turns terrifying when an intruder possesses the teen daughter's body, putting her at the mercy of his increasingly sinister commands.","39. Shaitaan","https://www.imdb.com/title/tt27744786/?ref_=sr_t_39"
"1728642008-40","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","40. Trisha on the Rocks","2024","2h 52m","5.4","One fine night Trisha meets Vishal at a party. This meeting starts a super fun havoc with the cutest romance in their lives.","40. Trisha on the Rocks","https://www.imdb.com/title/tt31914240/?ref_=sr_t_40"
